state,district,age_0_5,age_5_17,age_18_greater,total_enrolments,mbu_eligible,bio_age_5_17,bio_age_17_,total_bio_updates,mbu_compliance_ratio,mbu_gap,risk_category
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,618.0,30.0,17.0,665.0,648.0,4352.0,2954.0,7306.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,East Godavari,7161.0,507.0,10.0,7678.0,7668.0,204904.0,96946.0,301850.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Eluru,568.0,45.0,16.0,629.0,613.0,4288.0,3942.0,8230.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Guntur,8769.0,925.0,35.0,9729.0,9694.0,187665.0,104029.0,291694.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Hyderabad,3831.0,1008.0,1.0,4840.0,4839.0,23363.0,82381.0,105744.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,K.V.Rangareddy,55.0,14.0,0.0,69.0,69.0,168.0,605.0,773.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,K.v. Rangareddy,15.0,4.0,0.0,19.0,19.0,216.0,188.0,404.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Kakinada,858.0,84.0,27.0,969.0,942.0,7141.0,4557.0,11698.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Karim Nagar,71.0,11.0,0.0,82.0,82.0,387.0,1310.0,1697.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Karimnagar,552.0,107.0,0.0,659.0,659.0,4338.0,12789.0,17127.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Khammam,869.0,264.0,0.0,1133.0,1133.0,15536.0,25422.0,40958.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Krishna,6163.0,540.0,34.0,6737.0,6703.0,146788.0,86459.0,233247.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Kurnool,10923.0,823.0,24.0,11770.0,11746.0,242992.0,107641.0,350633.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Mahabub Nagar,1079.0,432.0,0.0,1511.0,1511.0,822.0,13030.0,13852.0,54.40105890138981,689.0,Yellow (Moderate Risk)
Andhra Pradesh,Mahabubnagar,7.0,0.0,0.0,7.0,7.0,39.0,81.0,120.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Mahbubnagar,511.0,211.0,0.0,722.0,722.0,3060.0,11679.0,14739.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Medak,1176.0,229.0,1.0,1406.0,1405.0,6281.0,16164.0,22445.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,N. T. R,790.0,97.0,46.0,933.0,887.0,6788.0,6771.0,13559.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Nalgonda,951.0,216.0,0.0,1167.0,1167.0,5640.0,27013.0,32653.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Nandyal,860.0,39.0,6.0,905.0,899.0,6337.0,4303.0,10640.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Nellore,4611.0,754.0,2.0,5367.0,5365.0,99065.0,59412.0,158477.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Nizamabad,453.0,71.0,0.0,524.0,524.0,3452.0,7527.0,10979.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Palnadu,759.0,76.0,25.0,860.0,835.0,6007.0,4046.0,10053.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Parvathipuram Manyam,464.0,36.0,8.0,508.0,500.0,5090.0,5540.0,10630.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Prakasam,6405.0,1157.0,61.0,7623.0,7562.0,136533.0,75766.0,212299.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Rangareddi,1478.0,405.0,0.0,1883.0,1883.0,13261.0,41326.0,54587.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Spsr Nellore,1167.0,713.0,303.0,2183.0,1880.0,0.0,0.0,0.0,0.0,1880.0,Red (Service Desert)
Andhra Pradesh,Sri Potti Sriramulu Nellore,689.0,622.0,303.0,1614.0,1311.0,6668.0,3467.0,10135.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Sri Sathya Sai,879.0,40.0,19.0,938.0,919.0,5704.0,4711.0,10415.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Srikakulam,4157.0,135.0,8.0,4300.0,4292.0,125178.0,67429.0,192607.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Tirupati,802.0,689.0,228.0,1719.0,1491.0,5633.0,4765.0,10398.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Visakhapatanam,186.0,28.0,12.0,226.0,214.0,0.0,0.0,0.0,0.0,214.0,Red (Service Desert)
Andhra Pradesh,Visakhapatnam,7688.0,460.0,30.0,8178.0,8148.0,195385.0,115918.0,311303.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Vizianagaram,3695.0,158.0,3.0,3856.0,3853.0,101296.0,58702.0,159998.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Warangal,858.0,201.0,0.0,1059.0,1059.0,13746.0,38012.0,51758.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,West Godavari,5568.0,343.0,24.0,5935.0,5911.0,139979.0,80435.0,220414.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Y. S. R,738.0,52.0,33.0,823.0,790.0,5183.0,3425.0,8608.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Anjaw,23.0,11.0,3.0,37.0,34.0,675.0,496.0,1171.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Changlang,486.0,304.0,13.0,803.0,790.0,5436.0,2747.0,8183.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Dibang Valley,7.0,3.0,0.0,10.0,10.0,313.0,158.0,471.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,East Kameng,88.0,79.0,14.0,181.0,167.0,2690.0,1607.0,4297.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,East Siang,80.0,86.0,2.0,168.0,166.0,2242.0,1079.0,3321.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Kamle,3.0,25.0,2.0,30.0,28.0,57.0,86.0,143.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Kra Daadi,18.0,59.0,4.0,81.0,77.0,717.0,523.0,1240.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Kurung Kumey,19.0,44.0,12.0,75.0,63.0,1299.0,2091.0,3390.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Leparada,0.0,2.0,1.0,3.0,2.0,34.0,2.0,36.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Lohit,102.0,63.0,1.0,166.0,165.0,1796.0,2095.0,3891.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Longding,141.0,719.0,37.0,897.0,860.0,1611.0,988.0,2599.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Lower Dibang Valley,58.0,49.0,2.0,109.0,107.0,1373.0,875.0,2248.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Lower Siang,10.0,18.0,3.0,31.0,28.0,359.0,54.0,413.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Lower Subansiri,50.0,55.0,0.0,105.0,105.0,1530.0,1150.0,2680.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Namsai,95.0,54.0,1.0,150.0,149.0,3561.0,2442.0,6003.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Pakke Kessang,2.0,1.0,1.0,4.0,3.0,30.0,44.0,74.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Papum Pare,201.0,241.0,5.0,447.0,442.0,4835.0,4424.0,9259.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Shi-yomi,8.0,22.0,5.0,35.0,30.0,210.0,319.0,529.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Siang,39.0,60.0,4.0,103.0,99.0,880.0,429.0,1309.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Tawang,104.0,43.0,7.0,154.0,147.0,1866.0,598.0,2464.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Tirap,59.0,39.0,1.0,99.0,98.0,1371.0,522.0,1893.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Upper Siang,21.0,21.0,1.0,43.0,42.0,1235.0,561.0,1796.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,Upper Subansiri,76.0,55.0,12.0,143.0,131.0,2462.0,1704.0,4166.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,West Kameng,157.0,103.0,18.0,278.0,260.0,2967.0,3205.0,6172.0,100.0,0.0,Green (Compliant)
Arunachal Pradesh,West Siang,110.0,80.0,2.0,192.0,190.0,3345.0,1301.0,4646.0,100.0,0.0,Green (Compliant)
Assam,Bajali,19.0,8.0,2.0,29.0,27.0,6.0,17.0,23.0,22.22222222222222,21.0,Red (Service Desert)
Assam,Baksa,2120.0,1179.0,400.0,3699.0,3299.0,11602.0,5853.0,17455.0,100.0,0.0,Green (Compliant)
Assam,Barpeta,10545.0,3306.0,532.0,14383.0,13851.0,66392.0,29029.0,95421.0,100.0,0.0,Green (Compliant)
Assam,Biswanath,789.0,464.0,76.0,1329.0,1253.0,6159.0,3389.0,9548.0,100.0,0.0,Green (Compliant)
Assam,Bongaigaon,2324.0,626.0,225.0,3175.0,2950.0,24633.0,11975.0,36608.0,100.0,0.0,Green (Compliant)
Assam,Cachar,11474.0,4513.0,1527.0,17514.0,15987.0,42167.0,23978.0,66145.0,100.0,0.0,Green (Compliant)
Assam,Charaideo,659.0,336.0,194.0,1189.0,995.0,6096.0,2197.0,8293.0,100.0,0.0,Green (Compliant)
Assam,Chirang,2013.0,1071.0,264.0,3348.0,3084.0,18078.0,9009.0,27087.0,100.0,0.0,Green (Compliant)
Assam,Darrang,4390.0,1914.0,1291.0,7595.0,6304.0,16240.0,10025.0,26265.0,100.0,0.0,Green (Compliant)
Assam,Dhemaji,3864.0,1846.0,1191.0,6901.0,5710.0,12494.0,8236.0,20730.0,100.0,0.0,Green (Compliant)
Assam,Dhubri,8432.0,3849.0,365.0,12646.0,12281.0,40373.0,19102.0,59475.0,100.0,0.0,Green (Compliant)
Assam,Dibrugarh,3895.0,1675.0,1492.0,7062.0,5570.0,14970.0,11765.0,26735.0,100.0,0.0,Green (Compliant)
Assam,Dima Hasao,119.0,103.0,28.0,250.0,222.0,11.0,14.0,25.0,4.954954954954955,211.0,Red (Service Desert)
Assam,Goalpara,6881.0,2220.0,797.0,9898.0,9101.0,17021.0,10603.0,27624.0,100.0,0.0,Green (Compliant)
Assam,Golaghat,5537.0,4047.0,1921.0,11505.0,9584.0,12369.0,7785.0,20154.0,100.0,0.0,Green (Compliant)
Assam,Hailakandi,3826.0,1441.0,311.0,5578.0,5267.0,14201.0,6922.0,21123.0,100.0,0.0,Green (Compliant)
Assam,Hojai,5288.0,1607.0,155.0,7050.0,6895.0,15271.0,13731.0,29002.0,100.0,0.0,Green (Compliant)
Assam,Jorhat,2905.0,1122.0,860.0,4887.0,4027.0,10704.0,5575.0,16279.0,100.0,0.0,Green (Compliant)
Assam,Kamrup,9311.0,3370.0,985.0,13666.0,12681.0,30056.0,13196.0,43252.0,100.0,0.0,Green (Compliant)
Assam,Kamrup Metro,2654.0,2055.0,1337.0,6046.0,4709.0,14584.0,12178.0,26762.0,100.0,0.0,Green (Compliant)
Assam,Karbi Anglong,2918.0,4107.0,1082.0,8107.0,7025.0,25507.0,13699.0,39206.0,100.0,0.0,Green (Compliant)
Assam,Karimganj,9336.0,4903.0,594.0,14833.0,14239.0,24232.0,11414.0,35646.0,100.0,0.0,Green (Compliant)
Assam,Kokrajhar,2519.0,1572.0,518.0,4609.0,4091.0,18300.0,10559.0,28859.0,100.0,0.0,Green (Compliant)
Assam,Lakhimpur,4726.0,1825.0,648.0,7199.0,6551.0,17189.0,12583.0,29772.0,100.0,0.0,Green (Compliant)
Assam,Majuli,347.0,157.0,11.0,515.0,504.0,2139.0,1243.0,3382.0,100.0,0.0,Green (Compliant)
Assam,Marigaon,6735.0,2928.0,824.0,10487.0,9663.0,19361.0,14575.0,33936.0,100.0,0.0,Green (Compliant)
Assam,Nagaon,9002.0,3478.0,393.0,12873.0,12480.0,44214.0,73665.0,117879.0,100.0,0.0,Green (Compliant)
Assam,Nalbari,2709.0,977.0,195.0,3881.0,3686.0,14657.0,5594.0,20251.0,100.0,0.0,Green (Compliant)
Assam,North Cachar Hills,501.0,420.0,137.0,1058.0,921.0,2782.0,1242.0,4024.0,100.0,0.0,Green (Compliant)
Assam,Sibsagar,1561.0,514.0,662.0,2737.0,2075.0,8287.0,3093.0,11380.0,100.0,0.0,Green (Compliant)
Assam,Sivasagar,204.0,113.0,105.0,422.0,317.0,0.0,0.0,0.0,0.0,317.0,Red (Service Desert)
Assam,Sonitpur,5501.0,2723.0,973.0,9197.0,8224.0,17454.0,12663.0,30117.0,100.0,0.0,Green (Compliant)
Assam,South Salmara Mankachar,1062.0,364.0,46.0,1472.0,1426.0,2855.0,1993.0,4848.0,100.0,0.0,Green (Compliant)
Assam,Sribhumi,115.0,43.0,11.0,169.0,158.0,42.0,315.0,357.0,26.582278481012654,116.0,Red (Service Desert)
Assam,Tamulpur District,22.0,33.0,0.0,55.0,55.0,17.0,53.0,70.0,30.909090909090907,38.0,Red (Service Desert)
Assam,Tinsukia,3884.0,2867.0,1633.0,8384.0,6751.0,12082.0,7167.0,19249.0,100.0,0.0,Green (Compliant)
Assam,Udalguri,2658.0,1322.0,585.0,4565.0,3980.0,12995.0,9353.0,22348.0,100.0,0.0,Green (Compliant)
Assam,West Karbi Anglong,390.0,987.0,507.0,1884.0,1377.0,1084.0,2308.0,3392.0,78.72185911401598,293.0,Yellow (Moderate Risk)
Bihar,Araria,9939.0,5515.0,125.0,15579.0,15454.0,72533.0,82911.0,155444.0,100.0,0.0,Green (Compliant)
Bihar,Arwal,812.0,3020.0,34.0,3866.0,3832.0,12094.0,18610.0,30704.0,100.0,0.0,Green (Compliant)
Bihar,Aurangabad,3001.0,7096.0,73.0,10170.0,10097.0,46556.0,49874.0,96430.0,100.0,0.0,Green (Compliant)
Bihar,Aurangabad(BH),5.0,3.0,0.0,8.0,8.0,1.0,9.0,10.0,12.5,7.0,Red (Service Desert)
Bihar,Aurangabad(bh),44.0,61.0,0.0,105.0,105.0,34.0,188.0,222.0,32.38095238095238,71.0,Red (Service Desert)
Bihar,Banka,6198.0,4797.0,79.0,11074.0,10995.0,49854.0,48373.0,98227.0,100.0,0.0,Green (Compliant)
Bihar,Begusarai,8106.0,5045.0,58.0,13209.0,13151.0,72549.0,74659.0,147208.0,100.0,0.0,Green (Compliant)
Bihar,Bhabua,14.0,17.0,0.0,31.0,31.0,4.0,29.0,33.0,12.903225806451612,27.0,Red (Service Desert)
Bihar,Bhagalpur,10456.0,10229.0,377.0,21062.0,20685.0,72409.0,75905.0,148314.0,100.0,0.0,Green (Compliant)
Bihar,Bhojpur,3136.0,10115.0,106.0,13357.0,13251.0,39485.0,57511.0,96996.0,100.0,0.0,Green (Compliant)
Bihar,Buxar,2528.0,4648.0,64.0,7240.0,7176.0,24831.0,32197.0,57028.0,100.0,0.0,Green (Compliant)
Bihar,Darbhanga,10017.0,5677.0,71.0,15765.0,15694.0,93323.0,117057.0,210380.0,100.0,0.0,Green (Compliant)
Bihar,East Champaran,10147.0,18371.0,805.0,29323.0,28518.0,95935.0,116199.0,212134.0,100.0,0.0,Green (Compliant)
Bihar,Gaya,6722.0,20244.0,435.0,27401.0,26966.0,85898.0,99274.0,185172.0,100.0,0.0,Green (Compliant)
Bihar,Gopalganj,5303.0,9649.0,196.0,15148.0,14952.0,46818.0,56666.0,103484.0,100.0,0.0,Green (Compliant)
Bihar,Jamui,5193.0,5029.0,160.0,10382.0,10222.0,46558.0,35599.0,82157.0,100.0,0.0,Green (Compliant)
Bihar,Jehanabad,915.0,3827.0,141.0,4883.0,4742.0,15681.0,21749.0,37430.0,100.0,0.0,Green (Compliant)
Bihar,Kaimur (Bhabua),3033.0,4707.0,85.0,7825.0,7740.0,37550.0,40607.0,78157.0,100.0,0.0,Green (Compliant)
Bihar,Katihar,11332.0,4903.0,115.0,16350.0,16235.0,98243.0,119037.0,217280.0,100.0,0.0,Green (Compliant)
Bihar,Khagaria,4348.0,3779.0,69.0,8196.0,8127.0,39283.0,40621.0,79904.0,100.0,0.0,Green (Compliant)
Bihar,Kishanganj,6957.0,1782.0,25.0,8764.0,8739.0,57815.0,83464.0,141279.0,100.0,0.0,Green (Compliant)
Bihar,Lakhisarai,2664.0,3423.0,68.0,6155.0,6087.0,22610.0,26887.0,49497.0,100.0,0.0,Green (Compliant)
Bihar,Madhepura,4571.0,4417.0,39.0,9027.0,8988.0,51666.0,65571.0,117237.0,100.0,0.0,Green (Compliant)
Bihar,Madhubani,12598.0,12534.0,798.0,25930.0,25132.0,110514.0,127621.0,238135.0,100.0,0.0,Green (Compliant)
Bihar,Monghyr,29.0,20.0,0.0,49.0,49.0,5.0,94.0,99.0,10.204081632653061,44.0,Red (Service Desert)
Bihar,Munger,2445.0,3534.0,108.0,6087.0,5979.0,21620.0,28851.0,50471.0,100.0,0.0,Green (Compliant)
Bihar,Muzaffarpur,14087.0,14103.0,665.0,28855.0,28190.0,93075.0,115469.0,208544.0,100.0,0.0,Green (Compliant)
Bihar,Nalanda,3676.0,10763.0,136.0,14575.0,14439.0,51140.0,66262.0,117402.0,100.0,0.0,Green (Compliant)
Bihar,Nawada,2742.0,12380.0,291.0,15413.0,15122.0,38447.0,47798.0,86245.0,100.0,0.0,Green (Compliant)
Bihar,Pashchim Champaran,5060.0,10737.0,562.0,16359.0,15797.0,40.0,313.0,353.0,0.253212635310502,15757.0,Red (Service Desert)
Bihar,Patna,6745.0,17151.0,748.0,24644.0,23896.0,93322.0,115692.0,209014.0,100.0,0.0,Green (Compliant)
Bihar,Purba Champaran,61.0,66.0,0.0,127.0,127.0,27.0,237.0,264.0,21.25984251968504,100.0,Red (Service Desert)
Bihar,Purbi Champaran,4000.0,10071.0,800.0,14871.0,14071.0,0.0,0.0,0.0,0.0,14071.0,Red (Service Desert)
Bihar,Purnea,169.0,88.0,0.0,257.0,257.0,1027.0,3927.0,4954.0,100.0,0.0,Green (Compliant)
Bihar,Purnia,12195.0,7721.0,184.0,20100.0,19916.0,106033.0,122518.0,228551.0,100.0,0.0,Green (Compliant)
Bihar,Rohtas,2741.0,5120.0,78.0,7939.0,7861.0,50054.0,61656.0,111710.0,100.0,0.0,Green (Compliant)
Bihar,Saharsa,6281.0,6577.0,205.0,13063.0,12858.0,42412.0,77454.0,119866.0,100.0,0.0,Green (Compliant)
Bihar,Samastipur,11289.0,7787.0,131.0,19207.0,19076.0,93161.0,107004.0,200165.0,100.0,0.0,Green (Compliant)
Bihar,Samstipur,41.0,41.0,0.0,82.0,82.0,13.0,182.0,195.0,15.853658536585366,69.0,Red (Service Desert)
Bihar,Saran,7592.0,16407.0,219.0,24218.0,23999.0,63026.0,85477.0,148503.0,100.0,0.0,Green (Compliant)
Bihar,Sheikhpura,1244.0,1934.0,21.0,3199.0,3178.0,16884.0,23539.0,40423.0,100.0,0.0,Green (Compliant)
Bihar,Sheikpura,11.0,18.0,0.0,29.0,29.0,5.0,128.0,133.0,17.24137931034483,24.0,Red (Service Desert)
Bihar,Sheohar,2067.0,1184.0,11.0,3262.0,3251.0,12986.0,19696.0,32682.0,100.0,0.0,Green (Compliant)
Bihar,Sitamarhi,20679.0,18856.0,2697.0,42232.0,39535.0,84925.0,97075.0,182000.0,100.0,0.0,Green (Compliant)
Bihar,Siwan,6149.0,9025.0,137.0,15311.0,15174.0,52907.0,72897.0,125804.0,100.0,0.0,Green (Compliant)
Bihar,Supaul,5691.0,4563.0,157.0,10411.0,10254.0,47023.0,65347.0,112370.0,100.0,0.0,Green (Compliant)
Bihar,Vaishali,8257.0,9698.0,52.0,18007.0,17955.0,72298.0,95862.0,168160.0,100.0,0.0,Green (Compliant)
Bihar,West Champaran,11585.0,18070.0,783.0,30438.0,29655.0,75467.0,91350.0,166817.0,100.0,0.0,Green (Compliant)
Chandigarh,Chandigarh,2473.0,211.0,36.0,2720.0,2684.0,49166.0,25296.0,74462.0,100.0,0.0,Green (Compliant)
Chandigarh,Mohali,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,Red (Service Desert)
Chandigarh,Rupnagar,3.0,0.0,0.0,3.0,3.0,3.0,11.0,14.0,100.0,0.0,Green (Compliant)
Chhatisgarh,Raipur,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,Red (Service Desert)
Chhattisgarh,Balod,1603.0,71.0,4.0,1678.0,1674.0,26841.0,54374.0,81215.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Baloda Bazar,4349.0,562.0,33.0,4944.0,4911.0,53691.0,87056.0,140747.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Balrampur,4593.0,1528.0,69.0,6190.0,6121.0,20113.0,32130.0,52243.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Bastar,4794.0,1808.0,6.0,6608.0,6602.0,27648.0,66736.0,94384.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Bemetara,2458.0,302.0,11.0,2771.0,2760.0,34486.0,77224.0,111710.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Bijapur,3601.0,1761.0,1362.0,6724.0,5362.0,10757.0,17127.0,27884.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Bilaspur,7490.0,1432.0,19.0,8941.0,8922.0,67405.0,127632.0,195037.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Dakshin Bastar Dantewada,1028.0,172.0,24.0,1224.0,1200.0,8064.0,19147.0,27211.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Dantewada,584.0,126.0,0.0,710.0,710.0,5327.0,13601.0,18928.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Dhamtari,1876.0,89.0,3.0,1968.0,1965.0,26826.0,63452.0,90278.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Durg,3528.0,520.0,47.0,4095.0,4048.0,76883.0,102968.0,179851.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Gariyaband,1307.0,229.0,6.0,1542.0,1536.0,16883.0,35205.0,52088.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Gaurela-pendra-marwahi,115.0,20.0,5.0,140.0,135.0,679.0,1610.0,2289.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Gaurella Pendra Marwahi,623.0,290.0,70.0,983.0,913.0,0.0,0.0,0.0,0.0,913.0,Red (Service Desert)
Chhattisgarh,Janjgir - Champa,32.0,1.0,0.0,33.0,33.0,5.0,195.0,200.0,15.151515151515152,28.0,Red (Service Desert)
Chhattisgarh,Janjgir Champa,21.0,4.0,0.0,25.0,25.0,21.0,171.0,192.0,84.0,4.0,Green (Compliant)
Chhattisgarh,Janjgir-champa,4066.0,572.0,1.0,4639.0,4638.0,51955.0,128699.0,180654.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Jashpur,1666.0,875.0,2.0,2543.0,2541.0,30250.0,44353.0,74603.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Kabeerdham,860.0,92.0,3.0,955.0,952.0,16628.0,15889.0,32517.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Kanker,1426.0,277.0,2.0,1705.0,1703.0,19607.0,33602.0,53209.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Kawardha,1884.0,257.0,1.0,2142.0,2141.0,23941.0,36850.0,60791.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Khairagarh Chhuikhadan Gandai,183.0,63.0,0.0,246.0,246.0,132.0,903.0,1035.0,53.65853658536586,114.0,Yellow (Moderate Risk)
Chhattisgarh,Kondagaon,1975.0,1054.0,9.0,3038.0,3029.0,17291.0,40055.0,57346.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Korba,3040.0,489.0,13.0,3542.0,3529.0,32907.0,68967.0,101874.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Koriya,1258.0,504.0,1.0,1763.0,1762.0,19055.0,41842.0,60897.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Mahasamund,2773.0,563.0,25.0,3361.0,3336.0,30360.0,69509.0,99869.0,100.0,0.0,Green (Compliant)
Chhattisgarh,ManendragarhChirmiriBharatpur,0.0,0.0,0.0,0.0,0.0,44.0,268.0,312.0,0.0,0.0,Red (Service Desert)
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,188.0,106.0,0.0,294.0,294.0,46.0,235.0,281.0,15.646258503401361,248.0,Red (Service Desert)
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,10.0,4.0,0.0,14.0,14.0,36.0,31.0,67.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,162.0,93.0,4.0,259.0,255.0,1060.0,3535.0,4595.0,100.0,0.0,Green (Compliant)
Chhattisgarh,Mungeli,2600.0,355.0,2.0,2957.0,2955.0,28914.0,53653.0,82567.0,100.0,0.0,Green (Compliant)
